age,sex,education,birth_in_canada,province,income_family,cell
30-39,Female,College/Associate Degree,Yes,Saskatchewan,level 1,Saskatchewan 30-39 College/Associate Degree level 1
50-59,Female,College/Associate Degree,Yes,British Columbia,level 2,British Columbia 50-59 College/Associate Degree level 2
50-59,Male,College/Associate Degree,Yes,Ontario,level 3,Ontario 50-59 College/Associate Degree level 3
70-79,Male,College/Associate Degree,Yes,Ontario,level 2,Ontario 70-79 College/Associate Degree level 2
60-69,Male,Grade12&under,Yes,Quebec,level 1,Quebec 60-69 Grade12&under level 1
70-79,Female,Grade12&under,Yes,Quebec,level 1,Quebec 70-79 Grade12&under level 1
30-39,Female,Bachelor&under(uni),Yes,Prince Edward Island,level 1,Prince Edward Island 30-39 Bachelor&under(uni) level 1
30-39,Male,College/Associate Degree,Yes,Quebec,level 2,Quebec 30-39 College/Associate Degree level 2
50-59,Female,College/Associate Degree,Yes,Alberta,level 1,Alberta 50-59 College/Associate Degree level 1
80+,Male,Grade12&under,No,Ontario,level 1,Ontario 80+ Grade12&under level 1
60-69,Female,Bachelor&under(uni),Yes,British Columbia,level 1,British Columbia 60-69 Bachelor&under(uni) level 1
40-49,Female,AboveBachelor(uni),Yes,Newfoundland and Labrador,level 3,Newfoundland and Labrador 40-49 AboveBachelor(uni) level 3
50-59,Male,Highschool,No,Ontario,level 3,Ontario 50-59 Highschool level 3
30-39,Female,Bachelor&under(uni),Yes,British Columbia,level 1,British Columbia 30-39 Bachelor&under(uni) level 1
60-69,Female,Grade12&under,Yes,Quebec,level 1,Quebec 60-69 Grade12&under level 1
60-69,Male,AboveBachelor(uni),Yes,British Columbia,level 1,British Columbia 60-69 AboveBachelor(uni) level 1
60-69,Female,Bachelor&under(uni),Yes,British Columbia,level 3,British Columbia 60-69 Bachelor&under(uni) level 3
80+,Male,Grade12&under,Yes,Ontario,level 1,Ontario 80+ Grade12&under level 1
60-69,Female,College/Associate Degree,Yes,Nova Scotia,level 1,Nova Scotia 60-69 College/Associate Degree level 1
60-69,Male,College/Associate Degree,Yes,Saskatchewan,level 3,Saskatchewan 60-69 College/Associate Degree level 3
60-69,Female,College/Associate Degree,Yes,British Columbia,level 1,British Columbia 60-69 College/Associate Degree level 1
70-79,Female,Highschool,No,Ontario,level 1,Ontario 70-79 Highschool level 1
40-49,Male,College/Associate Degree,Yes,Ontario,level 3,Ontario 40-49 College/Associate Degree level 3
18-29,Female,College/Associate Degree,Yes,Ontario,level 2,Ontario 18-29 College/Associate Degree level 2
50-59,Male,College/Associate Degree,Yes,Alberta,level 3,Alberta 50-59 College/Associate Degree level 3
30-39,Male,Highschool,Yes,Saskatchewan,level 3,Saskatchewan 30-39 Highschool level 3
60-69,Male,College/Associate Degree,Yes,Alberta,level 1,Alberta 60-69 College/Associate Degree level 1
30-39,Female,Bachelor&under(uni),Yes,Prince Edward Island,level 1,Prince Edward Island 30-39 Bachelor&under(uni) level 1
70-79,Male,Grade12&under,No,Prince Edward Island,level 1,Prince Edward Island 70-79 Grade12&under level 1
60-69,Male,Highschool,Yes,Quebec,level 1,Quebec 60-69 Highschool level 1
60-69,Male,Bachelor&under(uni),Yes,Ontario,level 2,Ontario 60-69 Bachelor&under(uni) level 2
18-29,Female,Highschool,Yes,Alberta,level 3,Alberta 18-29 Highschool level 3
70-79,Female,Highschool,Yes,New Brunswick,level 1,New Brunswick 70-79 Highschool level 1
18-29,Male,Bachelor&under(uni),Yes,Newfoundland and Labrador,level 1,Newfoundland and Labrador 18-29 Bachelor&under(uni) level 1
40-49,Male,College/Associate Degree,No,Ontario,level 1,Ontario 40-49 College/Associate Degree level 1
60-69,Female,College/Associate Degree,Yes,Quebec,level 3,Quebec 60-69 College/Associate Degree level 3
18-29,Female,AboveBachelor(uni),No,Quebec,level 2,Quebec 18-29 AboveBachelor(uni) level 2
50-59,Female,Highschool,Yes,Saskatchewan,level 1,Saskatchewan 50-59 Highschool level 1
50-59,Female,Highschool,Yes,Manitoba,level 1,Manitoba 50-59 Highschool level 1
60-69,Female,Highschool,Yes,Alberta,level 1,Alberta 60-69 Highschool level 1
60-69,Male,Highschool,No,Nova Scotia,level 2,Nova Scotia 60-69 Highschool level 2
60-69,Male,Grade12&under,Yes,Ontario,level 1,Ontario 60-69 Grade12&under level 1
30-39,Male,College/Associate Degree,Yes,Newfoundland and Labrador,level 3,Newfoundland and Labrador 30-39 College/Associate Degree level 3
30-39,Male,Highschool,Yes,Quebec,level 2,Quebec 30-39 Highschool level 2
50-59,Female,Highschool,No,British Columbia,level 1,British Columbia 50-59 Highschool level 1
40-49,Female,Highschool,Yes,Nova Scotia,level 3,Nova Scotia 40-49 Highschool level 3
18-29,Male,College/Associate Degree,Yes,Ontario,level 3,Ontario 18-29 College/Associate Degree level 3
60-69,Male,Highschool,Yes,British Columbia,level 2,British Columbia 60-69 Highschool level 2
40-49,Female,Highschool,Yes,Alberta,level 1,Alberta 40-49 Highschool level 1
18-29,Male,Highschool,Yes,Nova Scotia,level 3,Nova Scotia 18-29 Highschool level 3
60-69,Male,Bachelor&under(uni),Yes,New Brunswick,level 2,New Brunswick 60-69 Bachelor&under(uni) level 2
30-39,Female,Bachelor&under(uni),Yes,Quebec,level 1,Quebec 30-39 Bachelor&under(uni) level 1
50-59,Male,Bachelor&under(uni),Yes,British Columbia,level 1,British Columbia 50-59 Bachelor&under(uni) level 1
80+,Female,College/Associate Degree,No,British Columbia,level 1,British Columbia 80+ College/Associate Degree level 1
60-69,Female,Highschool,Yes,Quebec,level 1,Quebec 60-69 Highschool level 1
50-59,Male,Bachelor&under(uni),Yes,Saskatchewan,level 1,Saskatchewan 50-59 Bachelor&under(uni) level 1
40-49,Female,Bachelor&under(uni),Yes,Newfoundland and Labrador,level 3,Newfoundland and Labrador 40-49 Bachelor&under(uni) level 3
60-69,Male,Bachelor&under(uni),No,Ontario,level 3,Ontario 60-69 Bachelor&under(uni) level 3
80+,Female,College/Associate Degree,Yes,Saskatchewan,level 2,Saskatchewan 80+ College/Associate Degree level 2
30-39,Female,Highschool,Yes,British Columbia,level 3,British Columbia 30-39 Highschool level 3
60-69,Male,Highschool,Yes,Ontario,level 2,Ontario 60-69 Highschool level 2
18-29,Female,Grade12&under,Yes,Quebec,level 1,Quebec 18-29 Grade12&under level 1
50-59,Female,Highschool,Yes,New Brunswick,level 1,New Brunswick 50-59 Highschool level 1
50-59,Male,Highschool,Yes,Nova Scotia,level 3,Nova Scotia 50-59 Highschool level 3
40-49,Male,Highschool,Yes,New Brunswick,level 1,New Brunswick 40-49 Highschool level 1
60-69,Female,College/Associate Degree,No,Ontario,level 3,Ontario 60-69 College/Associate Degree level 3
18-29,Male,Bachelor&under(uni),Yes,Quebec,level 1,Quebec 18-29 Bachelor&under(uni) level 1
70-79,Female,Grade12&under,Yes,New Brunswick,level 1,New Brunswick 70-79 Grade12&under level 1
60-69,Male,Highschool,Yes,Quebec,level 1,Quebec 60-69 Highschool level 1
80+,Male,College/Associate Degree,Yes,Manitoba,level 1,Manitoba 80+ College/Associate Degree level 1
50-59,Male,College/Associate Degree,Yes,Ontario,level 2,Ontario 50-59 College/Associate Degree level 2
50-59,Female,Highschool,Yes,Ontario,level 1,Ontario 50-59 Highschool level 1
60-69,Male,Highschool,Yes,British Columbia,level 1,British Columbia 60-69 Highschool level 1
40-49,Male,Bachelor&under(uni),Yes,Nova Scotia,level 1,Nova Scotia 40-49 Bachelor&under(uni) level 1
80+,Male,Bachelor&under(uni),No,Saskatchewan,level 1,Saskatchewan 80+ Bachelor&under(uni) level 1
60-69,Male,Bachelor&under(uni),Yes,Ontario,level 3,Ontario 60-69 Bachelor&under(uni) level 3
70-79,Female,Grade12&under,Yes,Alberta,level 1,Alberta 70-79 Grade12&under level 1
60-69,Female,College/Associate Degree,No,Quebec,level 1,Quebec 60-69 College/Associate Degree level 1
50-59,Female,Highschool,Yes,Nova Scotia,level 3,Nova Scotia 50-59 Highschool level 3
80+,Female,Bachelor&under(uni),Yes,Quebec,level 1,Quebec 80+ Bachelor&under(uni) level 1
